code,platform,module,variant,level,description,en_implication,en_solution,zh_implication,zh_solution,de_implication,de_solution,fr_implication,fr_solution,it_implication,it_solution,ja_implication,ja_solution,es_implication,es_solution,cs_implication,cs_solution,ko_implication,ko_solution,sk_implication,sk_solution,pl_implication,pl_solution,nl_implication,nl_solution,da_implication,da_solution,sr_implication,sr_solution,sv_implication,sv_solution,sl_implication,sl_solution,pt_implication,pt_solution,hu_implication,hu_solution,hr_implication,hr_solution,no_implication,no_solution,fi_implication,fi_solution,ro_implication,ro_solution,bg_implication,bg_solution,et_implication,et_solution,lv_implication,lv_solution,lt_implication,lt_solution
1301,3,navigation,STATE_1301,1,充电桩位置变动,The charging station position has changed,Please relocate the charging station,充电桩位置变动,请重置充电桩,Änderung der Ladestapelposition,Bitte setzen Sie den Ladestapel zurück,Changement de position de la station de charge,Veuillez réinitialiser la station de charge.,Modifica della posizione della postazione di ricarica,Reimpostare la postazione di ricarica,,,Cambio de posición de la base de carga,Restablezca la base de carga,Poloha nabíjecí základny se změnila,Přemístěte nabíjecí základnu,,,Poloha nabíjacej základne sa zmenila,Premiestnite nabíjaciu základňu,Zmiana położenia stacji ładującej,Przenieś stację ładującą,Positieverandering laadstation,Reset het laadstation.,Ladestationens position er ændret,Flyt venligst ladestationen i app,Положај станице за пуњење је промењен,Преместите станицу за пуњење,Laddstationens position har ändrats,Vänligen flytta laddstationen,Položaj polnilne postaje se je spremenil,Prestavite polnilno postajo,A posição da estação de carregamento foi alterada,"Por favor, reposicione a estação de carregamento",A töltőállomás helye megváltozott,"Kérjük, helyezze át a töltőállomást",Promijenjen položaj punionice,Premjestite punionicu,Ladestasjonens plassering er endret,Vennligst flytt ladestasjonen,Latausaseman sijainti on muuttunut,Siirrä latausasema,Poziția stației de încărcare s-a schimbat,Vă rugăm să relocați stația de încărcare,Позицията на зарядната станция е променена,"Моля, преместете зарядната станция",Laadimisjaama asukoht on muutunud,Palun paigutage laadimisjaam ümber,Uzlādes stacijas atrašanās vieta ir mainījusies,"Lūdzu, pārvietojiet uzlādes staciju",Įkrovimo stoties padėtis pasikeitė,Prašome perkelti įkrovimo stotį
1302,3,navigation,STATE_1302,1,自动定向失败,Heading calibration failed,Please make sure that the robot’s positioning status is fine and try again,自动定向失败,请确保Robot定位稳定后重试,Automatische Richtungsfehler,"Bitte stellen Sie sicher, dass die Positionierung von Roboter stabil ist, bevor Sie es erneut versuchen",Erreur auto-direction,Verifier que le positionnement de robot est correct et recommencer,Errore di direzione automatica,Si prega di assicurarsi che il posizionamento di robot sia stabile prima di riprovare,,,Fallo de dirección automática,"Por favor, asegúrese de que la ubicación de robot sea estable antes de intentarlo nuevamente",Automatická kalibrace selhala,"Ujistěte se, že je stav polohování dobrý (FIX) a zkuste to znova",,,Automatická kalibrácia zlyhala,"Uistite sa, že je stav polohovania dobrý (FIX) a skúste to znova",Automatyczne kierowanie nie powiodło się,"Upewnij się, że pozycja robot jest stabilna i spróbuj ponownie",Zelfstuurfout,Controleer of de positionering van robot correct is en begin opnieuw,Kurskalibrering mislykkedes,"Sørg for, at robottens positioneringsstatus er i orden, og prøv igen",,,Kurskalibrering misslyckades,Se till att robotens positioneringsstatus är bra och försök igen,Kalibracija glave ni uspela,"Prepričajte se, da je stanje pozicioniranja naprave robot v redu, in poskusite znova.",,,,,,,,,,,,,,,,,,,,
1303,3,navigation,STATE_1303,1,定位状态差,Poor positioning status,The robot is resetting the onboard RTK module and trying to restore normal positioning,定位状态差,Robot正在重启RTK模块，试图恢复定位,Schlechter Positionierungsstatus,"Roboter setzt das integrierte RTK-Modul zurück und versucht, die normale Positionierung wiederherzustellen",Statut de positionnement de mauvaise qualité,Robot réinitialise le module RTK embarqué et tente de restaurer un positionnement normal,Stato posizionamento non corretto,Robot sta reimpostando il modulo RTK di bordo e cercando di ripristinare una posizione normale,,,Estado de posicionamiento deficiente,Robot está reiniciando el módulo RTK incorporado e intentando restaurar la posición normal,Špatný stav polohování,Robot resetuje vestavěný modul RTK a snaží se obnovit polohování,,,Zlý stav polohovania,Robot resetuje vstavaný modul RTK a snaží sa obnoviť polohovanie,Słaba jakość pozycjonowania,Robot resetuje wbudowany moduł RTK i próbuje przywrócić normalne pozycjonowanie,Slechte positioneringsstatus,Robot reset de ingebouwde RTK-module en probeert de normale positionering te herstellen,Dårlig positioneringsstatus,Robotten nulstiller det indbyggede RTK-modul og forsøger at gendanne normal positionering,,,Dålig positioneringsstatus,Roboten återställer RTK-modulen ombord och försöker återställa normal positionering,Slabo stanje pozicioniranja,Robot ponastavlja vgrajeni modul RTK in poskuša ponovno vzpostaviti normalno pozicioniranje,,,,,,,,,,,,,,,,,,,,
1304,3,navigation,STATE_1304,1,定位状态差,Poor positioning status,The robot has reset the onboard RTK module several times but the positioning has still failed. Please move the robot to a more open area and wait for positioning to resume,定位状态差,Robot已经多次重置了RTK模块，但定位仍然失败。请将Robot移动到更开阔的区域，并等待定位恢复,Schlechter Positionierungsstatus,"Roboter hat das integrierte RTK-Modul mehrmals zurückgesetzt, aber die Positionierung ist immer noch fehlgeschlagen. Bitte bewegen Sie Roboter in ein offeneres Gebiet und warten Sie, bis die Positionierung wieder aufgenommen wird",Statut de positionnement de mauvaise qualité,"Robot a réinitialisé plusieurs fois le module RTK embarqué, mais le positionnement a échoué. Veuillez déplacer robot vers une zone plus ouverte et attendre que la localisation reprenne",Stato posizionamento non corretto,Robot ha resettato il modulo RTK integrato diverse volte ma la posizionamento è ancora fallito. Si prega di spostare robot in un'area più aperta e attendere il ripristino del posizionamento,,,Estado de posicionamiento deficiente,"Robot ha reiniciado el módulo RTK incorporado varias veces pero la posición aún ha fallado. Por favor, mueva a Robot a un área más abierta y espere a que se reanude la localización",Špatný stav polohování,"Robot několikrát resetovala vestavěný modul RTK, ale polohování stále selhává. Prosím přemístěte robot do oblasti s otevřeným výhledem na oblohu a počkejte, až bude polohování obnoveno",,,Zlý stav polohovania,"Robot niekoľkokrát resetovala vstavaný modul RTK, ale polohovanie stále zlyháva. Prosím premiestnite Robot do oblasti s otvoreným výhľadom na oblohu a počkajte, až bude polohovanie obnovené",Słaba jakość pozycjonowania,"Robot kilkakrotnie zresetowała wbudowany moduł RTK, ale pozycjonowanie nadal nie działa. Proszę przenieść robot na bardziej otwartą przestrzeń i poczekać, aż pozycjonowanie się wznowi",Slechte positioneringsstatus,"Robot heeft de ingebouwde RTK-module verschillende keren gereset, maar de positionering is mislukt. Verplaats robot naar een meer open gebied en wacht tot het volgen wordt hervat",Dårlig positioneringsstatus,"Robotten har nulstillet det indbyggede RTK-modul flere gange, men positioneringen er stadig mislykket. Flyt robotten til et mere åbent område, og vent på, at positioneringen genoptages",,,Dålig positioneringsstatus,Roboten har återställt den inbyggda RTK-modulen flera gånger men positioneringen har fortfarande misslyckats. Flytta roboten till ett mer öppet område och vänta på att positioneringen återupptas,Stanje slabega položaja,"Robot je večkrat ponastavila vgrajeni modul RTK, vendar določanje položaja še vedno ni uspelo. Robot prestavite na bolj odprto območje in počakajte, da se pozicioniranje obnovi.",,,,,,,,,,,,,,,,,,,,
1305,3,navigation,STATE_1305,1,定位模块初始化异常,Positioning module initialization error,"Restart the robot. If the issue persists, contact the after-sales support",定位模块初始化异常,请重启Robot，若多次重启无效，请联系售后,Die Initialisierung des Positionsmoduls ist fehlerhaft,"Bitte starten Sie Roboter neu. Wenn mehrere Neustarts fehlschlagen, kontaktieren Sie bitte den Kundendienst",L‘initialisation du module de localisation est anormale,"Veuillez redémarrer robot. Si plusieurs redémarrages échouent, veuillez contacter le service après-vente",L‘inizializzazione del modulo di posizionamento è anomala,"Si prega di riavviare robot. Se diversi riavvii falliscono, si prega di contattare il servizio post-vendita",,,La inicialización del módulo de posicionamiento es excepcional,"Por favor, reinicie robot. Si varios reinicios fallan, por favor, póngase en contacto con el servicio postventa",Chyba inicializace polohovacího modulu,"Restartujte robot. Pokud problém přetrvává, kontaktujte autorizovaný servis",,,Chyba inicializácie polohovacieho modulu,"Reštartujte robot. Ak problém pretrváva, kontaktujte autorizovaný servis",Inicjalizacja modułu lokalizacji jest nieprawidłowa,"Uruchom ponownie robot. Jeśli nie działa, skontaktuj się z naszym zespołem obsługi posprzedażnej.",De initialisatie van de lokalisatiemodule is abnormaal.,"Start robot opnieuw op. Als meerdere herstarts mislukken, neem dan contact op met de klantenservice",Fejl ved initialisering af positioneringsmodul,"Genstart robotten. Hvis problemet fortsætter, skal du kontakte support",,,Initieringsfel vid positioneringsmodul,"Starta om roboten. Om problemet kvarstår, kontakta kundsupporten",Napaka pri inicializaciji modula za določanje položaja,"Ponovno zaženite program robot. Če se težava nadaljuje, se obrnite na poprodajno podporo",,,,,,,,,,,,,,,,,,,,
1308,3,common,STATE_1308,3,检测到基站位置变动,The RTK reference station location seems to be moved,,检测到基站位置变动,,Der Standort der RTK-Referenzstation scheint verschoben zu sein,,L'emplacement de la station de référence RTK semble avoir changé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,3,navigation,STATE_1309,1,Robot在作业区域边缘启动作业，无法自动定向,The robot has not calibrated yet.,Please move the robot to the charging station or place it within the lawn and try again,Robot未定向,请将Robot移动到充电桩上或草坪区域中心后重试,Der Roboter wurde noch nicht kalibriert.,Bitte bringen Sie den Roboter zur Ladestation oder setzen Sie ihn auf den Rasen und versuchen Sie es erneut,Le robot n’a pas encore été calibré.,Déplacez le robot vers la station de charge ou placez-le dans la pelouse et réessayez,Il robot non è ancora stato calibrato.,Portare il robot nella stazione di ricarica o posizionarlo sul prato e riprovare,,,El robot aún no se ha calibrado.,Mueva el robot a la estación de carga o colóquelo dentro del césped y vuelva a intentarlo,Robot nebyl dosud kalibrován.,Přesuňte robot do nabíjecí stanice nebo ho umístěte na trávník a zkuste to znovu,,,Robot zatiaľ nebol kalibrovaný.,Premiestnite robota do nabíjacej stanice alebo ho položte do obvodu trávnika a skúste to znova,Robot nie został jeszcze skalibrowany.,Przenieś robota do stacji ładującej lub umieść go na trawniku i spróbuj ponownie,De robot is nog niet gekalibreerd.,Verplaats de robot naar het laadstation of plaats hem binnen het gazon en probeer opnieuw,Robotten er ikke kalibreret endnu.,"Flyt robotten til opladningsstationen, eller placér den på plænen, og prøv igen",,,Roboten har inte kalibrerats ännu.,Flytta roboten till laddstationen eller placera den på gräsmattan och försök igen,Robot še ni umerjen.,"Prosimo, premaknite robota na polnilno postajo ali ga postavite na zelenico in poskusite znova",O robô ainda não foi calibrado.,Desloque o robô para a estação de carregamento ou coloque-o no relvado e tente novamente,A robot még nem kalibrálódott.,"Kérjük, vigye a robotot a töltőállomásra, vagy helyezze a gyepre, és próbálja meg újra",Robot još nije kalibriran.,Pomaknite robota na stanicu za punjenje ili ga postavite unutar travnjaka i pokušajte ponovno,Roboten er ikke kalibrert ennå.,Flytt roboten til ladestasjonen eller plasser den innenfor plenen og prøv igjen,Robottia ei ole vielä kalibroitu.,Siirrä robotti latausasemaan tai aseta se nurmikolle ja yritä uudelleen,Robotul nu a fost calibrat încă.,Vă rugăm să mutați robotul la stația de încărcare sau să îl plasați în interiorul peluzei și să încercați din nou,Роботът все още не е калибриран.,Преместете робота в станцията за зареждане или го поставете в тревната площ и опитайте отново,Robot pole veel kalibreeritud.,Pange robot laadimisjaama või asetage see muru sisse ja proovige uuesti,Robots vēl nav kalibrējies.,"Lūdzu, pārvietojiet robotu uz uzlādes staciju vai novietojiet to zālienā un mēģiniet vēlreiz",Robotas dar nesukalibruotas.,Perkelkite robotą į įkrovimo stotelę arba padėkite jį vejoje ir bandykite dar kartą
1310,3,navigation,STATE_1310,1,Robot 当前位置无法搜索到充电桩红外信号,The robot is unable to get the infrared signal from its current location,Please check and clean infrared transceivers on the robot's rear and the charging station. Control the robot into the charging area with its rear to the charging station and try again,Robot 当前位置无法搜索到充电桩红外信号,请保证Robot尾部和充电桩的红外收发模块清洁，且把Robot控制到桩前并将尾部对准充电桩方向,Roboter kann das Infrarotsignal an der aktuellen Position nicht finden,"Bitte stellen Sie sicher, dass die Infrarot-Empfänger- und Sendermodule sowohl am Heck von Roboter als auch an der Ladestation sauber sind. Steuern Sie Roboter zur Vorderseite der Ladestation und richten Sie das Heck in Richtung Ladestation aus",Robot ne peut pas trouver le signal infrarouge à la position actuelle,Veuillez vous assurer que les modules de transmission infrarouge à l’arrière de robot et sur la station de charge sont propres. Contrôlez robot vers l’avant de la station de charge et alignez son arrière vers la station de charge,Robot non riesce a trovare il segnale infrarosso alla posizione attuale,Assicurati che i moduli trasmettitore-ricevitore infrarossi sia sulla parte posteriore di robot che sulla stazione di ricarica siano puliti. Controlla robot verso la parte anteriore della stazione di ricarica e allinea la sua parte posteriore verso la stazione di ricarica,,,Robot no puede encontrar la señal infrarroja en la posición actual,"Por favor, asegúrate de que los módulos transceptores infrarrojos tanto en la parte trasera de robot como en la estación de carga estén limpios. Controla a robot hacia la parte delantera de la estación de carga y alinea su parte trasera con la estación de carga",Robot nemůže získat infračervený signál ze své aktuální pozice,"Zkontrolujte a očistěte infračervené přijímače a vysílače v zadní části robot a na základně. Ovládejte robot do nabíjecí oblasti, zadní stranou k nabíjecí základně a zkuste to znova",,,Robot nemôže získať infračervený signál zo svojej aktuálnej pozície,"Skontrolujte a očistite infračervené prijímače a vysielače v zadnej časti robot a na základni. Ovládajte robot do nabíjacej oblasti, zadnou stranou k nabíjacej základni a skúste to znova",Robot nie może znaleźć sygnału podczerwieni na obecnej pozycji,"Proszę upewnić się, że moduły odbiorników i nadajników podczerwieni na tylnej części robot i na stacji ładowania są czyste. Kontroluj robot do przodu stacji ładowania i wyrównaj tylną część robot w kierunku stacji ładowania",Robot kan het infraroodsignaal niet vinden op de huidige positie.,Zorg ervoor dat de infraroodtransmissiemodules aan de achterkant van robot en op het laadstation schoon zijn. Bedien robot naar de voorkant van het laadstation en lijn de achterkant uit naar het laadstation,Robotten kan ikke få det infrarøde signal fra dets aktuelle placering,"Kontroller og rengør infrarøde transceivere på robottens bagside og ladestationen. Styr robotten ind i ladeområdet med bagenden til ladestationen, og prøv igen",,,Roboten kan inte få den infraröda signalen från sin nuvarande plats,Kontrollera och rengör infraröda transceivrar på robotens baksida och laddstationen. Styr roboten in i laddningsområdet med baksidan mot laddstationen och försök igen,Robot ne more dobiti infrardečega signala s trenutne lokacije,Preverite in očistite infrardeče oddajnike na zadnji strani naprave robot in na polnilni postaji. Upravite napravo robot v polnilno območje z zadnjim delom proti polnilni postaji in poskusite znova.,,,,,,,,,,,,,,,,,,,,
1311,3,navigation,STATE_1311,1,Robot位于作业区域外，无法回充,Unable to recharge here,Please control the robot into a task area and retry,启动回充的区域不合理,请把Robot控制到作业区域中心后重试,"Der Bereich, in dem das Aufladen eingeleitet wird, ist nicht zumutbar",Bitte steuern Sie Roboter in den Aufgabenbereich und versuchen Sie es erneut,La zone de rechargement de démarrage est déraisonnable,Veuillez contrôler robot dans la zone des tâches et réessayer,Area irragionevole per l'avvio della ricarica,Si prega di controllare robot nell’area delle attività e riprovare,,,El área para iniciar la recarga no es razonable,"Por favor, controla a robot dentro del área de tareas e inténtalo de nuevo",Nepřiměřená oblast pro zahájení dobíjení,Ovládejte robot do oblasti sečení a zkuste to znovu,,,Neprimeraná oblasť pre začatie dobíjania,Ovládajte robot do oblasti kosenia a skúste to znova,Nieuzasadniony obszar do rozpoczęcia ładowania,Proszę kontrolować robot w obszarze zadania i spróbować ponownie,Onredelijk gebied voor het initiëren van opladen,Controleer robot in de taakzone en probeer het opnieuw.,Uregelmæssigt område til iværksættelse af genopladning,"Styr robotten ind i et opgaveområde, og prøv igen",,,Orimligt område för att inleda laddning,Vänligen styr roboten till ett klippningsområde och försök igen,Nerazumno območje za začetek polnjenje,Upravljajte napravo robot v območje za naloge in poskusite znova,,,,,,,,,,,,,,,,,,,,
1312,3,common,STATE_1312,1,视觉定位与轮速定位偏差较大,The 3D vision module's positioning data differs significantly from that of the wheel speed sensor,Please restart the robot and try again in a well-lit environment,视觉定位与轮速定位偏差较大,请重启机器，并在光线充足的环境重试,Die Positionsdaten des 3D-Visionsmoduls weichen erheblich von denen des Raddrehzahlsensors ab,Bitte starten Sie den Roboter neu und versuchen Sie es erneut in einer gut beleuchteten Umgebung,Les données de positionnement du module de vision 3D diffèrent considérablement de celles du capteur de vitesse de roue,Veuillez redémarrer le robot et réessayer dans un environnement bien éclairé,I dati di posizionamento del modulo di visione 3D differiscono significativamente da quelli del sensore di velocità della ruota,Si prega di riavviare il robot e riprovare in un ambiente ben illuminato,,,Los datos de posicionamiento del módulo de visión 3D difieren significativamente de los del sensor de velocidad de la rueda,"Por favor, reinicie el robot e inténtelo de nuevo en un entorno bien iluminado",Poloha dat modulu 3D vidění se výrazně liší od dat senzoru rychlosti kola,Restartujte robota a zkuste to znovu v dobře osvětleném prostředí,,,Poloha dát modulu 3D vízie sa výrazne líši od dátumov snímača rýchlosti kolesa,Restartujte robota a skúste to znova v dobre osvetlenom prostredí,Dane pozycjonowania modułu wizji 3D znacznie różnią się od danych czujnika prędkości koła,Proszę zrestartować robota i spróbować ponownie w dobrze oświetlonym środowisku,Grote afwijking tussen visuele positionering en wielsnelheidspositionering,Start de machine opnieuw op en probeer het opnieuw in een goed verlichte omgeving,3D-visionmodulets positioneringsdata adskiller sig væsentligt fra hjulhastighedssensorens,"Genstart robotten, og prøv igen i et godt oplyst miljø",,,3D-visionmodulens positionsdata skiljer sig väsentligt från hjulhastighetssensorn,Starta om roboten och försök igen i en väl upplyst miljö,Velik odklon med vizualnim položajem in položajem hitrosti kolesa,"Prosim, ponovno zaženite stroj in poskusite znova v dobro osvetljenem okolju",,,,,,,,,,,,,,,,,,,,
1313,3,mcu,STATE_1313,1,未在充电桩上启动作业,Unable to work because the robot is not at the charging station,Please move the robot to the charging station and try again,未在充电桩上启动作业,请移动到充电桩上，然后启动作业,"Betrieb nicht möglich, da sich der Roboter nicht an der Ladestation befindet",Bitte bringen Sie den Roboter zur Ladestation und versuchen Sie es erneut,"Travail impossible, car le robot n’est pas à la station de charge",Veuillez déplacer le robot vers la station de charge et réessayez,Non è possibile procedere perché il robot non si trova nella stazione di ricarica,Spostare il robot nella stazione di ricarica e riprovare,,,No se puede trabajar porque el robot no está en la estación de carga,Mueva el robot a la estación de carga e inténtelo de nuevo,"Nelze fungovat, protože robot není v nabíjecí stanici",Přesuňte robot do nabíjecí stanice a zkuste to znovu,,,"Nie je možné pracovať, lebo robot nie je v nabíjacej stanici",Premiestnite robota do nabíjacej stanice a skúste to znova,"Robot nie może pracować, ponieważ nie znajduje się w stacji ładującej",Przenieś robota do stacji ładującej i spróbuj ponownie,Kan niet werken omdat de robot niet bij het laadstation staat,Verplaats de robot naar het laadstation en probeer opnieuw,"Kan ikke arbejde, fordi robotten ikke er på opladningsstationen","Flyt robotten til opladningsstationen, og prøv igen",,,Kan inte fungera eftersom roboten inte är vid laddstationen,Flytta roboten till laddstationen och försök igen,"Ne more delovati, ker robota ni na polnilni postaji","Prosimo, premaknite robota na polnilno postajo in poskusite znova",Não é possível trabalhar porque o robô não está na estação de carregamento,Desloque o robô para a estação de carregamento e tente novamente,"Nem tud dolgozni, mert a robot nincs a töltőállomáson","Kérjük, vigye a robotot a töltőállomásra, és próbálja meg újra",Rad nije moguć je robot nije na stanici za punjenje,Pomaknite robota na stanicu za punjenje i pokušajte ponovno,Kan ikke jobbe fordi roboten ikke er ved ladestasjonen,Flytt roboten til ladestasjonen og prøv igjen,"Työskentely ei onnistu, koska robotti ei ole latausasemassa",Siirrä robotti latausasemaan ja yritä uudelleen,Nu poate funcționa deoarece robotul nu este la stația de încărcare,Vă rugăm să mutați robotul la stația de încărcare și să încercați din nou,"Действието не е възможно, защото роботът не е в станцията за зареждане",Преместете робота в станцията за зареждане и опитайте отново,"Ei ole võimeline töötama, kuna robot pole laadimisjaamas",Viige robot laadimisjaama ja proovige uuesti,"Nevar strādāt, jo robots nav uzlādes stacijā","Lūdzu, pārvietojiet robotu uz uzlādes staciju un mēģiniet vēlreiz","Negalima dirbti, nes robotas nėra įkrovimo stotelėje",Perkelkite robotą į įkrovimo stotelę ir bandykite dar kartą
1314,3,navigation,STATE_1314,1,定位精度差,Weak positioning signal,Please move the robot to an open area or place it on the charging station before restarting the task,定位精度差,请控车到开阔的地方继续作业或者在充电桩启动作业,Schwaches Positionssignal,"Bitte bewegen Sie den Roboter in einen offenen Bereich oder stellen Sie ihn auf die Ladestation, bevor Sie die Aufgabe erneut starten",Faible signal de positionnement,Veuillez déplacer le robot dans une zone ouverte ou le placer sur la station de charge avant de redémarrer la tâche,Segnale di posizionamento debole,Spostare il robot in un'area aperta o posizionarlo sulla stazione di ricarica prima di riavviare l'attività,,,Señal de posicionamiento débil,Traslade el robot a una zona abierta o colóquelo en la estación de carga antes de reiniciar la tarea,Slabý signál polohy,"Než úlohu znovu spustíte, přesuňte robot do otevřeného prostoru nebo ho umístěte na nabíjecí stanici",,,Slabý signál zisťovania polohy,Pred reštartovaním danej úlohy premiestnite robota na otvorené priestranstvo alebo ho položte na nabíjaciu stanicu,Słaby sygnał położenia,Przed wznowieniem działania przenieś robota w inne miejsce wolne od przeszkód lub umieść go na stacji ładowania,Zwak positioneringssignaal,Plaats de robot in een open ruimte of op het laadstation voordat u de taak herstart,Svagt positioneringssignal,"Flyt robotten ud i et åbent område, eller anbring den på ladestationen, før du genstarter opgaven",Slab signal za pozicioniranje,Premestite robot u otvoreni prostor ili ga stavite na stanicu za punjenje pre nego što ponovo pokrenete zadatak,,Innan du startar om uppgiften ska du flytta roboten till ett öppet område eller placera den på laddningsstationen,Šibek signal za pozicioniranje,"Premaknite robota na odprto območje ali ga postavite na polnilno postajo, preden ponovno zaženete nalogo",Sinal de posicionamento fraco,Desloque o robô para uma área aberta ou coloque-o na estação de carregamento antes de reiniciar a tarefa,Helyzetjel gyenge,"A feladat folytatása előtt vigye a robotot egy üres területre, vagy helyezze a töltőállomásra",Slab signal pozicioniranja,Prije ponovnog pokretanja zadatka pomaknite robota na otvoreno područje ili ga postavite na stanicu za punjenje,Svak posisjoneringssignal,Flytt roboten til et åpent område eller plasser den på ladestasjonen før du starter oppgaven på nytt,Heikko paikannussignaali,"Siirrä robotti avoimelle alueelle tai aseta se latausasemaan, ennen kuin aloitat tehtävän uudelleen",Semnal de poziționare slab,Deplasați robotul către o zonă deschisă sau așezați-l pe o stație de încărcare înainte de a relua sarcina,Слаб сигнал за местоположение,"Преместете робота в открито пространство или го поставете на станцията за зареждане, преди да рестартирате задачата",Asukoha määramise signaal on nõrk,Viige robot enne töö jätkamist lagedale alale või laadimisjaama,Vājš pozicionēšanas signāls,Pārvietojiet robotu uz brīvu zonu vai novietojiet to uzlādes stacijā pirms uzdevuma restartēšanas,Silpnas padėties nustatymo signalas,"Prieš iš naujo paleisdami užduotį, perkelkite robotą į atvirą vietą arba padėkite jį ant įkrovimo stotelės"
1315,3,navigation,STATE_1315,1,定位丢失，录制失败,Lawn mapping failed due to positioning loss,"Please remap the lawn. If the issue persists, contact after-sales support",定位丢失，录制失败,请尝试重新录制，若多次录制失败，请联系售后,Rasen kartieren aufgrund von Positionsverlust fehlgeschlagen,"Bitte kartieren Sie den Rasen neu. Wenn das Problem weiterhin besteht, wenden Sie sich an den Kundendienst",La cartographie de la pelouse a échoué en raison d'une perte de positionnement,"Veuillez cartographier la pelouse à nouveau. Si le problème persiste, contactez le service après-vente",Mappatura del prato non riuscita per perdita di posizionamento,"Ripetere la mappatura del prato. Se i problemi persistono, contattare il servizio post-vendita",,,Fallo al crear el mapa del césped debido a una pérdida de posicionamiento,"Vuelva a crear el mapa del césped. Si el problema persiste, póngase en contacto con el servicio postventa",Mapování trávníku se nezdařilo kvůli ztrátě polohy,"Namapujte trávník znovu. Pokud problém přetrvává, obraťte se na poprodejní podporu",,,Mapovanie trávnika zlyhalo v dôsledku poruchy zisťovania polohy,"Znova vykonajte mapovanie trávnika. Ak problém pretrváva, obráťte sa na oddelenie podpory po predaji",Mapowanie trawnika nie powiodło się z powodu utraty lokalizacji,"Ponów mapowanie trawnika. Jeżeli problem nie ustępuje, skontaktuj się z obsługą klienta",Het in kaart brengen van het gazon is mislukt vanwege verlies van positionering,Breng het gazon opnieuw in kaart. Neem contact op met de klantenservice als het probleem aanhoudt,Kortlægningen af plænen mislykkedes på grund af mistet positionering,"Kortlæg plænen igen. Kontakt kundesupport, hvis problemet vedvarer",Mapiranje travnjaka nije uspelo zbog gubitka pozicioniranja,"Ponovo mapirajte travnjak. Ako se problem i dalje bude javljao, obratite se korisničkoj podršci",,Kartlägg gräsmattan igen. Kontakta kundsupport om problemet kvarstår,Zemljevid trate ni bil uspešno ustvarjen zaradi izgube signala za pozicioniranje,"Ponovno ustvarite zemljevid travnika. Če težave ne odpravite, se obrnite na poprodajno podporo",O mapeamento do relvado falhou devido a perda de posicionamento,"Mapeie novamente o relvado. Se o problema persistir, contacte a assistência pós-venda",A gyep feltérképezése sikertelen a helyzetjel elvesztése miatt,"Térképezze fel újra a gyepet. Ha a probléma továbbra is fennáll, forduljon a vevőszolgálathoz",Mapiranje travnjaka nije uspjelo zbog gubitka pozicioniranja,"Ponovno mapirajte travnjak. Ako to ne riješi problem, obratite se poslijeprodajnoj podršci",Plenkartlegging mislyktes på grunn av tap av posisjonering,Kartlegg plenen på nytt. Kontakt ettersalgsstøtten hvis problemet vedvarer,Nurmikon kartoitus epäonnistui paikannushäviön vuoksi,"Kartoita nurmikko uudelleen. Jos ongelma jatkuu, ota yhteyttä myynnin jälkeiseen tukeen",Maparea peluzei nu a reușit din cauza pierderii semnalului de poziționare,"Remapați peluza. Dacă problema persistă, contactați serviciul de asistență post-vânzări",Неуспешно картографиране на тревната площ поради загуба на сигнала за местоположение,"Картографирайте отново тревната площ. Ако проблемът продължава, потърсете екипа за обслужване на клиенти","Muru kaardistamine nurjus, sest asukoha määramine katkes","Kaardistage muruplats uuesti. Kui probleem püsib, võtke ühendust müügijärgse toega",Zāliena kartēšana neizdevās pozicionēšanas zuduma dēļ,"Veiciet zāliena kartēšanu no jauna. Ja problēma joprojām pastāv, sazinieties ar pēcpārdošanas atbalsta dienestu",Vejos atvaizdavimas nepavyko dėl padėties nustatymo signalo praradimo,"Iš naujo susiekite veją. Jei problema išlieka, susisiekite su aptarnavimo komanda"
1400,3,common,STATE_1400,3,系统内存不足,Out of memory,,系统内存不足,,Kein Speicher mehr,,Manque de mémoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,3,navigation,STATE_1406,1,检测到无效作业区域,Invalid task area detected,Please try again after restarting the robot,检测到无效作业区域,请在重启Robot后重试,Ungültiger Arbeitsbereich erkannt,"Bitte versuchen Sie es erneut, nachdem Sie Roboter neu gestartet haben",Zone de travail non valide détectée,Veuillez réessayer après avoir redémarré robot,Rilevata un‘area di lavoro non valida,Si prega di riprovare dopo aver riavviato robot,,,Se detectó un área de trabajo no válida,"Por favor, inténtelo de nuevo después de reiniciar robot",Zjištěna neplatná oblast sečení,Zkuste to znova po restartování robot,,,Zistená neplatná oblasť kosenia,Skúste to znova po reštartovaní robot,Wykryto nieprawidłowy obszar roboczy,Proszę spróbować ponownie po restarcie robot,Ongeldig werkgebied gedetecteerd,Probeer opnieuw na opnieuw opstarten van robot,Der blev registreret et ugyldigt opgaveområde,"Prøv igen, når du har genstartet robotten",,,Ogiltigt aktivitetsområde upptäcktes,Försök igen efter att ha startat om roboten,Zaznano nepravilno območje opravil,Po ponovnem zagonu naprave robot poskusite znova,,,,,,,,,,,,,,,,,,,,
